cell_id,id,name,rating,review_count,price,categories,address,city,state,zip_code,latitude,longitude,phone,url
0_0,StA6vwLUMU1IeTKiFbflbw,Wendy's,2.7,17,$,"['Burgers', 'Fast Food']","713 Oakland Circle, Raphine, VA 24472",Raphine,VA,24472,37.932023,-79.232007,+15403775587,https://www.yelp.com/biz/wendys-raphine?adjust_creative=fMTFnF0xgwShf4IIlNyc5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=fMTFnF0xgwShf4IIlNyc5w
0_0,AFpzCLixu5CJnRBnDi3jJQ,Nathans Hotdog,1.3,3,,"['Burgers', 'Hot Dogs']","2440 Raphine Rd, Raphine, VA 24472",Raphine,VA,24472,37.930742679735715,-79.22799210238423,,https://www.yelp.com/biz/nathans-hotdog-raphine?adjust_creative=fMTFnF0xgwShf4IIlNyc5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=fMTFnF0xgwShf4IIlNyc5w
0_0,lO7OkxvC5Wp2H7LBpen_Yw,Papa Johns Pizza,1.0,1,,"['Pizza', 'Chicken Wings', 'Fast Food']","2440 Raphine Rd, Raphine, VA 24472",Raphine,VA,24472,37.929178,-79.229217,+15403774090,https://www.yelp.com/biz/papa-johns-pizza-raphine-2?adjust_creative=fMTFnF0xgwShf4IIlNyc5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=fMTFnF0xgwShf4IIlNyc5w
0_0,dbHC4pxkU7rwk2Q7ybmR0Q,Burger King,2.7,11,$,"['Fast Food', 'Burgers']","2430 Raphine Rd, Raphine, VA 24472",Raphine,VA,24472,37.9307875,-79.2280896,+15403779676,https://www.yelp.com/biz/burger-king-raphine?adjust_creative=fMTFnF0xgwShf4IIlNyc5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=fMTFnF0xgwShf4IIlNyc5w
0_0,9jLRW62NWVuK283B_h6xbQ,Smiley's Bar-B-Q,3.6,155,$$,"['Barbeque', 'Gas Stations', 'Sports Bars']","2489 Raphine Rd, Raphine, VA 24472",Raphine,VA,24472,37.9310565990097,-79.2255449295044,+15403772505,https://www.yelp.com/biz/smileys-bar-b-q-raphine?adjust_creative=fMTFnF0xgwShf4IIlNyc5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=fMTFnF0xgwShf4IIlNyc5w
0_0,7QeE8Y_Aaj9ttjn78S2QzA,Subway,2.0,1,$,"['Fast Food', 'Sandwiches']","2440 Raphine Rd, Raphine, VA 24472",Raphine,VA,24472,37.9290997,-79.2293371,+15403772111,https://www.yelp.com/biz/subway-raphine?adjust_creative=fMTFnF0xgwShf4IIlNyc5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=fMTFnF0xgwShf4IIlNyc5w
0_0,vsFivl129NLkyBEDkMKKDA,Kings Tandoori Indian cuisine,4.8,4,,['Indian'],"2498 Raphine Rd, Raphine, VA 24472",Raphine,VA,24472,37.9303528,-79.22501952853023,+15407710011,https://www.yelp.com/biz/kings-tandoori-indian-cuisine-raphine?adjust_creative=fMTFnF0xgwShf4IIlNyc5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=fMTFnF0xgwShf4IIlNyc5w
0_0,KB8CFSKWhe-9cVNo-5HviA,Popeyes Louisiana Kitchen,2.2,16,$,"['Fast Food', 'Chicken Wings']","2440 Raphine Rd, Raphine, VA 24472",Raphine,VA,24472,37.9288796,-79.228954,+15403774173,https://www.yelp.com/biz/popeyes-louisiana-kitchen-raphine?adjust_creative=fMTFnF0xgwShf4IIlNyc5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=fMTFnF0xgwShf4IIlNyc5w
0_0,0Vjn4FPvL233F0TaPKJJ2A,Quaker Steak And Lube,3.7,46,,"['Chicken Wings', 'Burgers', 'Steakhouses']","30 Commerce Park Dr, Raphine, VA 24472",Raphine,VA,24472,37.9274513096547,-79.2285777595091,+15403774005,https://www.yelp.com/biz/quaker-steak-and-lube-raphine?adjust_creative=fMTFnF0xgwShf4IIlNyc5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=fMTFnF0xgwShf4IIlNyc5w
0_0,rSiqAHJL_1T0iVjsJl-R1w,Giovannas Italian Restaurant,4.0,19,,"['Pizza', 'Italian']","4171 Lee Jackson Hwy, Greenville, VA 24440",Greenville,VA,24440,38.0025473270789,-79.1583399641213,+15404148462,https://www.yelp.com/biz/giovannas-italian-restaurant-greenville?adjust_creative=fMTFnF0xgwShf4IIlNyc5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=fMTFnF0xgwShf4IIlNyc5w
